,Comments
729,the instructors were very Good. Jim Bob was very good at teaching the math part. he is able to present the material in such a way that I was able to understand it.
730,Bring back EHOT/DOP. EHOT/DOP took a burden off of the field. Now I will most likely have to travel more than 2 hours to find a tech in another SSC that can help with my OJT/PE.
731,"Each of my instructors were quite helpful. My lead instructor, Glen, was especially helpful in how lessons were taught."
732,great. good course.
733,"Thomas Lynch and Mark Sickle are excellent instructors. Although, the contract instructors used for individual non radar scenarios, are not. Most are irritable, rude and aggressive which does not support the learning environment whatsoever. Teach, do not yell at the student and exp"
734,I thoroughly enjoyed each instructor that I met. All provided me with valuable insight on different techniques to handle certain situations.
735,it's very good
736,The variety of the instruction was interesting.
737,great course
738,It was a good blend of lecture and lab time.
739,Instructors went at a pace to ensure material was being understood during lecture. During lab instructors would ask questions or give information to ensure everyone understood not just how to perform the tasks but what the task was accomplishing.
740,mehhh
741,the overall course was relative to my job.
742,Instructors were very knowledgeable and helpful. It was also very obvious that the Course Manager's attitude and intimidating leadership approach reflected the first few days on us all. We stayed after 1630 most days because the Course Manager would show up 5 minutes before class s
743,"Great course, so much to cover, could have been longer. Instructors were amazing."
744,"good course, which so much wasn't DVA's for the FPT's."
745,Ray was by far the most helpful as an instructor. He provided us with the course material and explained it to us in a way that was easy to take in.
746,Overall I feel as though most people involved genuinely want me to succeed but there just is not enough time to effectively process all the information given.
747,More running problems
748,"The overall content of the course is appropriate however more time needs to be taken with teaching the students to use the scope and read the scope. Less time can be taken on the computer message input training, there is an open lab for students to practice in and we spend so much"
749,Outstanding instruction from someone who actually cares that we learn it right!!! Richard Payton is extremely valuable to this organization and brings a wealth of knowledge and common sense to the course.
750,The course was a little basic for the level of experience in the class. Some of the lessons presented useful information but other lessons provided little value.
751,Very well paced. If any questions were asked they were promptly answered. Excellent material.
752,"Jim, Jim Bob, and Paul were all excellent instructors that posses a vast amount of knowledge."
753,Great instructors I thank them for their help and time
754,Very good course. I do think that the last day should have less detail when doing the exercises.
755,"Minimize instructor stories. Not ever scenario requires a drawn out personal example, certainly when one instructor already provided a scenario. It is hugely beneficial to have real-time examples, but not to an exhaustive length.These are critical critiques. The course and instruct"
756,"The instructors were very knowledgeable, friendly and did a great job."
757,"Recurrent courses for FAA inspectors should have additional simulator training days. One simulator (2 hours) is not enough for a pilot that does not fly the aircraft regularly (line pilot). Also, the provider should be required to use manufacturer procedures."
758,great course: something you will take home with and use at your office\work
759,"My instructors, Thomas Lynch and Mark Sickle, are very knowledgeable instructors and are helpful during class discussions.I was not satisfied with one of the scenario instructors, Wesley. He was very condescending towards me and I did not enjoy my learning experience that day."
760,The lead instructor helped prepare us from the start with all the knowledge needed to prepare us for evaluations and testing. He went above and beyond to explain all information and ensure total clarity when teaching us new concepts. The in class assistance greatly prepared me for
761,Very Interesting pair.
762,for the most part was taught pretty well I didn't like the fact that almost every day there were a different set of instructors I feel that if we had a particular set of instructors that the learning would have been a little more effective.
763,"Bill and Chuck were excellent instructors. I found them to be very knowledgeable and invested in my future as a radar controller. They were easy to approach and let you run the problem, only chiming in when needed. This fostered the most effective learning process, personally."
764,Execellent
765,"Much more useful information than previous trainings. Helpful that it was targeted towards engineers only, so that information was on topic and directed toward my job."
766,Instructor are really knowledgeable and helpful.
767,Great course
768,"Participant Guide: Too much ""white space"" that could have been cut down by (3) slides per pageI noted that there were numerous ""references"" to charts on the board,that were not readable in the Guide. I could have used the ""Five Steps for 135 Application"" chart for full view etc...e"
769,I loved the different styles of Bill and Phillip throughout the course. They each demonstrated the different techniques to use and its effectiveness. They each made the class very enjoyable while teaching the material. Very easy to communicate with and helpful while putting our pre
770,"The time allotted was minimal, but the course was well done. Instructor is excellent."
771,good but could have been more reinvent to the work of the FPT
772,"Course material came pretty fast but was explained well and the instructors didn't hesitate to stop and answer any questions we may have had. Would have liked to have seen a few more examples of the 22 KT, 44 KT, and fly backs."
773,As stated above the CBI should be scrapped and incorporated into the in house academy course
774,"For the RNAV portion, it would have been nice to have had the PBN course, but I was able to follow that section without. Happy I was able to get in the course, even if it would have been nice to have the other first."
775,This is a very valuable course for FLMs.
776,I thought the course was very applicable to my ASI duties and I should be able to apply what I learned here back at my office.
777,Very pleased that we received Kent as our lead basics instructor. He is very knowledgeable and truly cares about every student that walks through the door that has a good attitude and work ethic. During the 5 week course we had several different instructors of which Kent was by far
778,"Michael was a great instructor. Really knew how to properly explain things and taught the course well, as did Charles when he was here. Those are the only two that we had long enough for me to have an opinion about/care to comment on."
779,Excellent
780,Bill and Phil were excellent instructors who demonstrated strong mastery of the course material presented.
781,"Bill Horman is a superb instructor, professional, engaging, knowlegable and really wanting to make sure students get it. He makes it understandable.Richard Westbrook only taught the first block, but I feel he and Bill make a great team and share the same approach & values. Please r"
782,The instructors were very thorough and ensured the course materials were understood and applied properly. Very interesting class
783,Instructor is very knowledgeable
784,George and Tim very good instructors.
785,George Dunn and Tim Lett were excellent instructors!!!!!!!
786,"Second assessment, question 23. Course material stated that the inspection team lead has 30 calendar days to provide report to OMT lead. Question did not have that as an option, 60 calendar days was the answer in the knowledge test."
787,My instructors were cool. I loved the cecilism..lot of jokes..corny and funny. Overall good learning environment.
788,Excellent Course
789,I wish the scenarios to prepare for the evaluations were more difficult to prepare myself for the evaluations. My class was told in the beginning that we were going to get harder problems but this did not end up happening and we are still unsure why. I also wish we had more take-ho
790,"Row instructors would frequently try to teach things contrary to what the leads had taught, and contrary to what was in the course materials. Or, in some cases of situations not covered in course materials, they would insist on techniques not mandatory or contrary to what had been"
791,Course needs more lab time.
792,Piece of cake
793,I really enjoyed the course and training that came with the course
794,The instructors made this course successful for me. There were times that we had material that was confusing or exercises that didn't make sense and the instructors were able to work through them with us.
795,Id like to see some antenna set ups. Maybe some more alignments. And not in groups of three. Groups of three and not individual labs really make learning difficult. My training was 10x better ojt back at work.
796,I believe all instructors were very helpful and knowledgeable. Created an atmosphere for success.
797,Overall I felt like the academics portion needed to be at least a few days shorter to allow time for more scenarios. The original scenarios were very slow as to be expected. Being told that we were going to be the second class to run the new scenarios made a lot of us worried. Whil
798,"Great course, I learned a lot. Following along in my own copy of 14 CFR was very helpful to me. I noticed books at the front of them room. Would have been nice if there was an announcement that we could use them for the duration of the course, although they appear out of date."
799,"I thought this course was very difficult and I think if we had more time in non radar we would be able to have a more solid base established, which would lead to better understanding of the material, you can only do so much in 2 weeks of non radar scenarios and having a third week"
800,"Overall good course, like I said I believe we need more practice in order to make sure passing rates. Also, the break out room is a place to relax, release stress and unwind. Our stuff was put in lockers before the end of the day and the room was cleaned up for following class. Whe"
801,"The course was organized well, although some things seemed to be introduced too early or too late in the course."
802,Good instructors. Having around 10 instructors through basics is a little distracting.
803,"Mike Ortega was amazing and I like his teaching methods and styles, we get told we will have our main instructor the rest of the time and get switched twice more? Karlie is a wonderful instructor as well!"
804,Thomas Lynch is a top notch instructor and I feel very luck to have him as our lead. He deserves a raise. Dave is very friendly and motivational which is appreciated. Some lab instructors offer advise to solve situations before students have a chance to come up with their own or ma
805,Too much time focused on reading lesson plans in class. Should be given free time for reading and go over as Q&A class activity instead. ERAM LABS should be scripted first week to help student understand fundamental concepts. Rather they overloaded new concepts in early labs that c
806,it worked
807,The overall course was really hard and really tests your limits and will. Everything is given to you its up to you to apply it you can really get behind in this course the instructors will remind you every day of it. They don't give homework in this course which can be a down fall
808,"All the training I needed ended up being taught locally. I was hoping to take some good stuff away form this course. But in all honesty what we need as techs is going through the pm's and maintenance, as required and troubleshooting. The hours of theory that never stuck and was not"
809,Excellent instructors all the way around. Most transitions were smooth and the presentations had few hiccups. This speaks positive volumes about how they prepared for a first course offering.
810,Great job. Instructors were very knowledgeable.
811,Excellent Course. Very well presented.
812,The instructors had a wealth of knowledge and were very accommodating and were accessible for any questions.
813,"Really enjoyed the lab portions of the course. Some of the course material was pretty dry but for the most part was a really good review, and also taught me a lot of new things pertaining to the radar side of ATC."
814,Rich Green and Rich Wiggins were outstanding in their instruction and made a good team.
815,non radar
816,"All the instructors were knowledgeable, capable and competent. However, years of working around jet engines has left me with some hearing loss. Not being able to hear a soft spoken instructor kept me from getting the full benefit from the course."
817,Terrific instructors.
818,BRING BACK EHOT/DLP...don't kick the can down the road...maintain the high standard of certification by testing all to the same standard in OKC.
819,Great Instructors. I truly enjoyed the class.
820,all did a great job
821,Without exception...these instructors made this course an absolute pleasure and expanded my knowledge of the system.
822,Course material was very laid out and easy to follow and understand.
823,"I really NEEDED this course since having been selected to do proving runs within 2 weeks. Two weeks before course, I crewed a Falcon to London and back, and was clueless to the details of long over water.Dave Maloy was excellent, and really got everyone's attention.Tell him so. Reg"
824,Overall great experience. I would not recommend to instructors to have students read allowed the lesson plans to the class. It was hard to follow along and nobody in our class liked doing that. Thomas never made us do this but other instructors did.
825,"Overall content and course material is good. However, as I'm sure many of my classmates will agree, these new scenarios are tough. I understand we learned a lot and saw more things with the new scenarios than the old ones. I get that. But the new scenarios did not give the students"
826,"As far as the material goes, I felt it was very effective when paired with a good instructor. As far as the organization of the material, I felt that quite a few of the lesson plans were out of order, and can be organized better. Lastly, I think the time it takes to go through all"
827,"Most of these classes are good for foundation but 90% of the time you don't know and remember what you're taught because you may not ""touch"" the equipment much or for another year maybe.The school should consider giving refresher course (that would help with nastep inspections and"
828,I liked all the lab time.
829,"Despite the negativity from the main instructors at the start of the course, it was a good learning experience"
830,The course was informative and helped me find strengths and areas that need improvement.
831,The training complete.
832,Great course material and hands-on time with equipment
833,Great job with complicated subject.
834,"Fundamentals of documentation, specifically eTpr, SAL, Peabody."
835,"For the amount of content and material presented in the radar portion, there was little time to be able to go over and fully understand the material to a comfortable level. For academics that prepare a student for evaluations at the end of the course, it is a lot to take in in such"
836,He is in Training still and has not had a chance to Supervise employees yet.
837,very good overall. Would have liked a little more test prep.
838,Labs and troubleshooting set up in a manner that was extremely effective in reinforcing material that was covered during lecture.
839,"Rich and Rich were the most helpful and knowledgeable instructors I could ever ask for. Also, all the instructors in the Radar lab were excellent."
840,"This course was a real ""eye-opener"" for understanding the performance level required by simulators and other FSDs."
841,The Instructors were phenomenal. The experience level and motivation was exceptional.
842,The instructors were all good and knowledgeable.
843,fairly fast paced course. instructors were knowledgeable.
844,GLEN IS A WONDERFUL INSTRUCTOR. HE KNOWS AND UNDERSTANDS THE INS AND OUTS OF ALL THE BASICS INFORMATION AND TAUGHT THE CLASS IN A COMFORTABLE AND INFORMATIVE MANNER
845,Roger Basterash and Samuel Colasanti were both exceptional.
846,"I learned how to protect a ""stick."""
847,Very well organized
848,"Troy, Mike, and Greg presented an excellent course that was probably one of the most valuable I have taken during indoc. The concept of SMS will be with the FAA for years to come and I find the subject highly interesting. At Mike's suggestion, I am hoping to come back and help teac"
849,"Well presented, was able to answer related questions to a slide and transition back to class content easily and was able to keep class on task."
850,Added. it would be nice if the entire TERPS development could be done by this software. right now we have to use 3 different software programs.
851,Good Class. Plenty of hands on equipment time.
852,Over all the instructions are good. The only thing I would say to be better is to have Sezzle to speak at a slower pase since he most of the time speaks at a very fast past making it difficult to understand.
853,"Great course, applicable to my job"
854,Instructors were great.
855,Very Good course
856,"The instructors I had were great with my group. They were very knowledgeable, and I liked that they allowed us to make our mistake and then allow us to either correct it ourselves, if we recognized it, or give us pointers, and not just talk us how to ""run the problem""."
857,Both Lead and Assistant Lead are very helpful and knowledgeable.
858,All instructors were very knowledgeable about the information.
859,The course was made very interesting by the quality of the instructors and their interactions with the class. I was very happy that I attended this classs.
860,Very knowledgeable
861,Carly should be the go to for Charts and pilot info - since she was a pilot she gave great inside info regarding this and helped make the charting lesson more bearable. Also she offered her own personal touch which in return helped me to understand the lessons better.
862,Kent is a very effective teacher. He knows what he's talking about and presents the material in a way that is easily understandable and applicable.
863,Great course
864,If people don't need to study; then they need to be quiet and not distracting or leave the room.
865,The course needs to be extended.
866,"Pretty much all arrival training at TSEW. When I got to my facility I train on departure and satellite first and will not do any arrival training for a year. Hopefully I can remember what I learned at TSEW. Its not really the Academy's problem, but maybe I should attend TSEW right"
867,Excellent.
868,"Reducing the course to a ""Principles"" only, increases the time for an inspector to become competent in this area. In light of the short staffing levels in AFS, it is difficult to have the OJT opportunities needed to qualify to Level 3. Having more time in a more capable course enab"
869,"My only negative interaction with an instructor was with Wesley Carter. Speaking with several other students I quickly realized that I was not alone. Several other students said that after working with him, they wanted to seriously reconsider their career choice. I felt as if his r"
870,"Roy got better as time went on, what was the point of having a second instructor when he was allowed to teach us anything, also not helpful!!!!!!!"
871,I thought the overall course was good. I think that there should be more labs so you are better prepared for eval day. I also think that there should be a better way to let the student know what they did wrong rather then just write it on the back of a paper.
872,Instructors were highly qualified and had great willingness to share their knowledge.
873,Well written.
874,"My seemingly negative responses to these questions are a result of already being exposed to these techniques and concepts, which really weren't specified in the course title or description. Renaming the course and providing a more realistic description will assist potential student"
875,David is an extremely knowledgeable and passionate teacher. He answered my questions on any topic that is related to this class. A very interesting class to take. I wish we can combine the Battery Class with this class.
876,I thought this course covered incredibly relevant material and I liked the use of the sim and writing just partial POAs for practice. I liked the interaction between the instructors and the students in all the various roles. The constant critiquing was tiring but I saw the need for
877,"Jill and Michelle emit some serious positive energy that is contagious in this course. I really enjoyed the course, games, ok and the candy helped."
878,Each instructor would teach you different ways to do the same situations and it was up to us to piece together how we would handle it. I think this was an effective way to handle the environment.
879,The instructors both did an excellent job with very complex and extensive material. We're very fortunate to have access to Tim and Rainer for this course. I'm sure Steve is good too.
880,"The facilitators did an excellent job getting the members, discussing their experience with the topics being covered in the work shop.. ""real world"""
881,All the instructors were very encouraging. I fell like they really want us to succeed.
882,Overall the course was great. It would've been nice to have more problems to practice similar to the pa.
883,"the course was ultimately effective an provided a great learning environment for me to excel. I am a visual learner so the only thing that I thought would have been cool would have been to actually go to a runway or look out from the tower at the runway, during that chapter and loo"
884,Overall I felt that the ATBasics course was well planned out and went at a very manageable pace.
885,"During the course we had several computer and software malfunctions, but the instructors and IT worked fast to mitigate the impact."
886,Great Instructors
887,Ray was pretty good. I took delight in his teaching principles.
888,Instructors were very engaging and kept the class content interesting. Sam and Ken make a good team!
889,"Great staff, knowledgeable and energetic made each day a pleasure."
890,An excellent instructor. He was very knowledgeable and confident in his presentation. He made the class fun (if that's possible). He was also very willing to help on an individual basis.
891,Excellent instructors
892,"We have been in string for 8 weeks, no need to spend 1 hour and 10 minutes reviewing MMAC compound and building locations, we're familiar."
893,None. Was a good course
894,More opportunities to learn about dealing with unions.
895,None.
896,The Leads are more knowledgeable then the row instructors in general. You can tell when you get a row instructor who also has had a class recently as a Lead.
897,yep
898,materials organized
899,Add preventive maintenance.
900,Overall the course does what it needs to do!
901,Rich Green and Rich Wiggins were great instructors for nonradar. They always explained our questions to the fullest and tried their best to make sure everyone fully understood the material in the short amount of time we were given.
902,None.
903,Instructor for the course are awesome. Enjoyed the instructor as they kept the class engaged.
904,"More detail on how to handle problem employees, particularly ones that cannot or will not improve their performance to required levels."
905,The part-task was effective in showing how to apply radar concepts and rules. I think the course would benefit from having more part-task to demonstrate practical application of lessons learned in the books. Some individuals learn better from visual demonstration. Part-task is a gr
906,"Rob Mizell is a great instructor that made the course fun and easy to understand, some would say he is a legend. The lab instructors were patient and thoroughly helpful. Great Course!"
907,"Greg Carroll had an obvious bias against pilots. He played it off as humor, but it was clear he had a negative attitude he was merely masking. Furthermore, he was all but dismissive of general aviation. All the examples he was able to give were air carrier. This made it even more d"
908,"********* If this course were to be considered as a three act play, the first act was unlike any I have ever experienced in my lengthy FAA career. Winning the Tony Award for Best Actor was Allen Casey as the STARS Nazi. Expertly wielding biting sarcasm, secret information, impossib"
909,Great Course
910,Both Callie definitely knew the RDVS forward and backwards. I'm convinced she could probably do PM's on the RDVS blindfolded. Not joking.Chris was extremely knowledgeable on the RDVS and was very good at guiding my thinking while I was troubleshooting. There were a couple of instan
911,"By far, this was the most informative course I have attended in the FAA."
912,This was a well structured class that gave me plenty of hands on with the equipment.
913,"Good program. removal of the DOP seems like a non-issue for me, as I must perform an abbreviated PE (site familiarity) when I get back from OKC anyway."
914,Very helpful
915,"Overall, the course could use some work. Row instructors should follow what our lead instructor is teaching us to promote consistency and good habits. They should also refrain from making the problem an even more stressful situation by remaining calm and understand we are learning."
916,"It would be advantageous if we were able to receive a ""practice"" graded scenario from actual evaluators prior to our 3 graded PV's. It sounds like there is a large discrepancy between lab instructor grading and evaluator grading. At this time I am not certain as I have not taken my"
917,"It is tough to gauge the course before we run the evaluations. If we all do well on evaluations, then I would have no complaints because the more difficult problems made us better prepared. However, I feel like some of the problems were more ineffective because of the amount of tra"
918,The instructors were overall very helpful and knowledgeable.
919,Not required and current position does not require task certification of any kind.
920,The instructors were amazing. Everyone was incredibly knowledgeable with the subject matter and course even though the course was brand new.
921,"effective instruction, great instructors."
922,dual monitors would be a great addition for the students
923,The instructors were absolutely terrific!
924,A section of SA Cat 1 and Cat 2 ILS' would be nice.
925,More tools functionality overviews. More approach/terminal functions
926,None
927,learning STARS entries would be very beneficial
928,Very beneficial and was a good overview into the ATC system. The pace was good and it was easy to remember specific topics and pertinent information from week to week.
929,Employee is no longer with the FAA.
930,I feel that the Lead and A Lead instructors were extremely helpful throughout the course.
931,Jeff Phillips is very knowledgeable and a great lead instructor to have for radar. Dave Cockrell was also really helpful and I had no problems asking him any questions. Both definitely helped me understand how to work radar problems.
932,Add a little depth to charting and how the charting information is put together and how detailed a map is inspected.
933,No changes are needed for the course
934,Instructors were very knowledgeable and approachable. Both Pam and Lloyd made the class enjoyable.
935,Rich was very involved with the class and was willing to help anyone with questions. It was very clear he had an investment in our learning. He wanted all of us to succeed. Jack as well was very willing to help. After learning this was his first class he was apart of it was underst
936,Great instructors.
937,Great instructors.
938,The aircraft portion of this course was removed. It is worthwhile keeping the flight aspect as this is a major aspect of our job.
939,very knowledgeable.
940,Roger and Samuel brought years of experience to the classroom. They answered questions directly and with explanations. I enjoyed this opportunity to learn Part 21 which I can apply immediately to my daily work in the Boston ACO.Thanks for the training!
941,"Good course, a little dry by nature. I would say that the first 4.5 hour, 24 question exercise regarding the design was painful. It was frustrating as it required me to find negatives. I wasn't sure if I had missed anything. It was ineffective due to the frustration level involved."
942,All were very engaging.
943,Very Helpful
944,"More practical application of information. examples of actually working in the field on certificate holders, more mock site work."
945,Steve and Nik did a great job with the class. I feel like I learned from this class which does not thanks to the instruction received.
946,More helicopter operations
947,Overall I felt the course could be geared towards what we will be learning in the En Route portion of the academy. Examples of rules that apply later on would be easier to understand if they used in relation to Aero Center instead real world examples found in the text.
948,"Jim Spurlin was a very knowledgeable instructor, he could really figure out a way to get the messages across to everyone."
949,Outstanding instructors. Great job encouraging and addressing questions!
950,Course needs to be longer because of the need to completely understand the items taught should be spaced out for easier understanding.
951,See comments above
952,Charles Heck and Justin Fontenberry gave the course a new positive level of experience that was very helpful with the material presented.
953,This course provided much needed exposure to the capabilities of TARGETS.
954,Michelle's teaching style was great! Make her the Academy director and get the rest of the classes cleaned up. In other words...Closed Sat
955,The practice problems and examples helped. Sometimes going over terms and new concepts with classmate or seat partner were more beneficial.
956,"I felt that the content of the material was very good and conducive to learning the material; however, I feel that the order in which the material was presented could use some tweaking. What I mean by that is that the instructor had to slow down or stop several times just to explai"
957,The group discussions and interactions with the other students were one of the most helpful tools. The self assessment in speaking is something I can take with me and a tool I will continue to practice for improving my speaking skills.
958,The course was broken down in basic chunks that made it easier to digest and understand.
959,"It would have been great to take work home to study overnight to prepare for the next class, but I understand the reasoning."
960,I think it was a great course. I wish the book was a little more applicable than the course study.
961,"For the most part instructors were effective, there did seem to be slight differences in the interpretation of the loa's, sop, etc. An example being in trail spacing for overflights and departures versus successive departures seemed to cause mixed answers. But overall lab instructo"
962,The instructors were very knowledgeable and I found their personal examples to be very helpful in understanding some of the course material.
963,The overall content of the course helped me to understand more effectively on how to use the OE/ AAA system. This is a must in my position and for I use it daily. Richard and Tom made it easy to understand which will in turn increase my proficiency in my office.
964,rich walker and jack sudatis were extremely helpful and approachable.
965,"Bob Enoch, Larry Ross and Ian Spaude we very good instructors Thank YOu"
966,Very good class for class room instrution.
967,"Thomas Lynch and Mark Sickle are excellent instructors. They are patient and always try to explain things in a different way if anyone is having trouble with a problem, even if they have to do it multiple times. They seem interested in any input students have regarding their teachi"
968,Charlie and Mike are great instructors and make an effective team. I wish we had them from day 1 instead of switching instructors from nonradar to radar. I think as a lead Charlie is very knowledgeable and has some great best practices however I do wish we spent more time chalk tal
969,"Amazing instructors, very knowledgeable, thank you for allowing me to attend."
970,"I thought the course was put together very well, was relevant to our work in Airport Mapping, and gave a great overview of how our very specific jobs play into the operation of the National Airspace System currently and where things are moving in the future. The course was well bal"
971,Both Instructor Greg and Hakim (I am sorry if I misspelled their names) did an excellent job with the presentation.
972,Both Instructors were instrumental in my passing this course and showed genuine concern for learning the material to be used in real world applications. There help and compassion was greatly appreciating!!
973,The instructors were extremely competent and knowledgeable. They were approachable and helpful.
974,Both instructors did an awesome job explaining everything to us and teaching us the material to the best they can since everything was to short to truly have a grasp of Non-Radar
975,Rich Green and Rich Wiggins were excellent instructors and it was always obvious that they strive to have us understand and properly use all of the tools and concepts in non-radar. Many of the row instructors were also very knowledgeable and helpful in explaining when and how to re
976,The course content was interesting and appropriate. I enjoyed my time in this course and our course lead was very knowledgeable. It was helpful having a course lead that has a background as both a pilot and lifelong ATC specialist. Kent presented the material in an easy to understa
977,"It was a little difficult having a rotating door of instructors, but overall all of them were excellent."
978,"The overall course was a lot of information,"
979,"As noted above, all instructors were highly effective with the exception of Mr. Carter.Our leads, Thomas Lynch and Mark Sickle, were extremely helpful and motivating. Rich Walker was also extremely helpful when he filled in for Mr. Sickle during the first few days of non-radar.One"
980,"Thomas is the best instructor I've had. He was so polite, resourceful and patient. He always positive and helpful to all. He presents the material perfectly and I glad I have him as my instructor. I only wish there was 18 of him so he could sit with all of us and run problems. Mark"
981,Most instructors did a fine job keeping the class engaged through utilization of pictures and group discussion.
982,Great easy to understand and great interaction
983,I recommend submitting the evaluation after 4 months to better assess how the training has benefited the employee. The employee said he was satisfied with the training and would recommend it to other. A worthwhile investment to my department.
984,"Matt Galica, Jeff Curl and Dave Yerley were excellent instructors. Apologies if I missed someone. The course content was also really interesting. This course was the highlight of all the strings instruction. I am still training and have not yet done any check rides."
985,Excellent team and good tools. very throughout presentation
986,TRAINING/PRACTICE ON RNAV APPROACH PHRASEOLOGY AND OTHER APPROACHES OTHER THAN ILS
987,Outstanding knowledge of the material
988,Great information and material
989,All information presented was clear and concise.
990,Instructors very knowledgeable
991,Cecil was fantastic and advocated for his students accordingly. He was extremely knowledgeable and always presented the material so we could understand it. The SAIC instructors were also very helpful in their long duty days to help us along when we needed it in TSS. Mark Johnson we
992,Great instructors. Best in the business.
993,Great!
994,material seemed a little dry I know its basics but I feel as if some subjects could have been a little more in depth.
995,"Our instructor Ray was very knowledgeable in en route, terminal and pilot information and I feel that really helped with explaining things."
996,Charlie and Mike were both great instructors. They were very approachable. Some of the lab instructors were not consistent with the material. Ron and Dave were great lab instructors.
997,The only thing that I think that needs to change is that we need to be able to run more than 3 problems a day. 3 problems a day leaves way to much dead time. It seems like the R-Sides and Instructors are already going to be in the lab. 4 problems or even 5 would be more beneficial
998,Great!
999,he is now part of single cert.
1000,Instructors did a great job with the material provided.
1001,Richard and Tom were very informative and made the class enjoyable.
1002,"Class was great want to do more with them, would love to be able to do departures!"
1003,"Emory, John, Lorraine, Mike, & Mike were all fantastic and I would be glad to be their student again or work alongside them"
1004,Very Good in all aspects
1005,Shorten or delete this course
1006,"Great instructors and very knowledgeable, the only negative thing I would have are the stories of personal experience became too frequent."
1007,very nice course. definitely helped me to understand my role as TA better.
1008,"The instructors were well qualified, respectful and if the didn't know the answers they knew where to find them.As a side note Mike Hakim was the best CFI I have ever met."
1009,Really enjoyed the troubleshooting sessions. Those were really helpful in tying everything together.
1010,The instructor knew his way around the subject (DC Bus) and he had superior training and communication skills. I'll take back a lot of new knowledge to help me in my job.
1011,All of the above were advantageous and organized well.
1012,"Thomas Lynch, wouldn't have made it this far without him.Dave also was very committed to our success, and worked very hard to help us"
1013,"One more week of non-radar practice scenarios. Condense basics course to make up time for the extra non-radar week.I think it would be better to have RPO's work all practice problems, including Evals, as some of my practice scenarios were negatively impacted by sub-standard remotes"
1014,"It seems like we get everything we need, though it would be helpful to have access to e-learning activities at home. I know they can't officially tell us that we must study and practice at home, but everyone knows that we have to in order to have the slightest chance of passing. It"
1015,Instructors were vey good and clear and engaging.
1016,"The instructors did an excellent job teaching this course, and are very knowledgeable about the equipment."
1017,Very relevant to my work.
1018,Excellent instruction. Instructors did a great job.
1019,Overall the class was informative and extremely helpful.
1020,Dave Most has been great about answering questions I've had since the training. I've contacted him multiple times and he's been extremely helpful.
1021,"This was an excellent course. The course was tailored to ""how do I do my job as an ASI overseeing DPE's"". The content was perfect. Very appropriate examples and scenarios of the subject area where presented. It would be great if the academy would authorize more remote sited courses"
1022,Jim was very good instructor. Very approachable and was looking to help. Dave was good instructor very effective at getting to understand the situation. Will was very good and sitting down students and making them realize was going and an effective way to handle things.
1023,"This was a fantastic course. For the amount of material covered, it is impressive how well it ended up coming together throughout the two weeks down here in OKC."
1024,"You could learn from each instructor that taught a lesson but some instructors were much better than others, so it was easier to retain the information that they taught. Maybe it could be made so 1 instructor teaches all lessons in the course."
1025,Good course. The Kindles are not very effective.
1026,"Mr. Storey was absolutely vital in my understanding of course material. Especially considering that I am ""off the street,"" he explained things in a manner that was easily relatable and not overwhelming. Understanding that he was our lead, I can see that there might be some sort of"
1027,the instructor was excellent. He presented the material in an understandable format and at a digestible pace. He got the class involved which enhanced understanding. He continually reinforced basic points.
1028,767 Differences Training should be added.
1029,The lesson provided a much better understanding of how the DVAs are being developed and what tools are being utilized. Thanks so much for the class!!!
1030,"Lead instructors: Rich Green and Rich Wiggins were absolutely fantastic. They were professional but also provided a level of care and concern for the students that made it easy to approach them with questions. The row instructors were helpful, although I feel as though they could b"
1031,Michael Baptiste was the only instructor that we had throughout the entire process and he was great. He worked well with the class and always made sure that we understood things thoroughly before moving on. We also had Rick and Ray in our time and they were both positive for the cl
1032,Excellent instructors. This is one of the best classes I've had as a manager.
1033,I have nothing to add to this. Overall I have no complaints.
1034,maybe remind students that bananas bring fruit flies so dispose of them outside of classroom trashcan that isn't covered.
1035,"Instructors are all very knowledgeable and helpful, they were very actively looking to have comments to keep material up to date as best they can."
1036,Course will be valuable for my current assignment
1037,Great course! Thank you. Packed full each day tell 4:30.. This could be a longer course.
1038,I do not use non-radar where I am at so that feels like a waste for me. Some of the radar lessons also seemed like a waste. We learned about radar vectoring and I am not using that right now. Some of the lessons seemed pointless.
1039,Great course; very relevant to job assignment and materials were up to date and excellent.
1040,Upon completing the course I could say that on behalf of my class we felt that we were being spoon feed when it came to running the scenarios. Especially as it got more challenging and it was not until the very end that the instructors backed off a bit but by then it was too late.
1041,"Mr. Bob Talmadge and Mr. Bill Reisen demonstrated a very thorough knowledge of topic beyond the scope of the course material. They did an outstanding job presenting the course, initiating discussions, and reviewing examples. Mr. Brian Khan, instructing the class on legal issues, mu"
1042,Both the instructors Phillip and Bill Young were very helpful in understanding all the objectives. They were great instructors and help out when needed. The projects were closely related to the projects.
1043,"Class was great want to do more with them, would love to be able to do departures!"
1044,The course was excellent. I really enjoyed it. It was nice having multiple instructors. It would help if the monitors were larger.
1045,Very informative. Enjoyed the class.
1046,All instructors made a great team in explaining all student questions.
1047,Closed sat
1048,"Phraseology guidebook was up-to-date, however, the instructors weren't used to the phraseology for coordinating runway crossings as ground control with the words ""Reference (departing, arriving, 2 mile final, left base) aircraft, cross runway (28L/R or 16) at (Echo, Bravo or Hotel)"
